id,predicted_stars,actual_stars,mse
BShmKdQIkKmB89fmvOe9Nw,4,4,0
1qmOv8jPJ2kwHxX2DhPxYg,4,1,9
1qmOv8jPJ2kwHxX2DhPxYg,5,3,4
8gVq0xCXVeAAS3-nsifAgQ,4,4,0
8gVq0xCXVeAAS3-nsifAgQ,4,4,0
8gVq0xCXVeAAS3-nsifAgQ,4,1,9
8gVq0xCXVeAAS3-nsifAgQ,2,2,0
8gVq0xCXVeAAS3-nsifAgQ,3,3,0
OiutT-PHcZd6y2cEJ_yEVw,1,1,0
Hbz1hcWjiUyIaN5dV1sNcQ,4,4,0
Hbz1hcWjiUyIaN5dV1sNcQ,4,5,1
Hbz1hcWjiUyIaN5dV1sNcQ,4,4,0
Hbz1hcWjiUyIaN5dV1sNcQ,4,5,1
B1sevFEjgsKPvkTz10ESJw,4,4,0
B1sevFEjgsKPvkTz10ESJw,1,1,0
B1sevFEjgsKPvkTz10ESJw,1,2,1
AMWMEXmwrODR1X2G3V9Q0A,5,4,1
HPtTqirOkZArADg2FLr0eg,4,2,4
HPtTqirOkZArADg2FLr0eg,5,5,0
SRz9Q_jiOIO3ZVEtRSOnag,5,3,4
ROAhwL6lyogjyD3BdmFzYA,4,4,0
ROAhwL6lyogjyD3BdmFzYA,4,3,1
7kjQBf9FvS-wUXawx965QQ,1,1,0
4P6hZh7aieaZJXShzP3JQg,4,1,9
O5MzWfMWDeEwkzNVeKdCfg,4,5,1
O5MzWfMWDeEwkzNVeKdCfg,4,4,0
O5MzWfMWDeEwkzNVeKdCfg,4,4,0
I5cGJJw5-VXJtxO58WfuLA,4,3,1
USHY8ScdVj6NhybPvYQRRg,4,5,1
USHY8ScdVj6NhybPvYQRRg,5,4,1
9Y0dDkFEe_spzPqccq2hIw,5,4,1
GtrKMt4SFqh7eBl2CKeOIQ,1,1,0
GtrKMt4SFqh7eBl2CKeOIQ,1,1,0
HbpEevlotptlh1omZ4qDHg,5,4,1
HbpEevlotptlh1omZ4qDHg,4,3,1
EVCLVY5Jazha-XXDwQavqw,3,3,0
JdbYyxufvaU6uwmNg0EqhQ,1,1,0
HkLoNKk2aYhuUKgKCNU0tw,4,5,1
HkLoNKk2aYhuUKgKCNU0tw,5,2,9
HkLoNKk2aYhuUKgKCNU0tw,1,3,4
HkLoNKk2aYhuUKgKCNU0tw,5,4,1
HkLoNKk2aYhuUKgKCNU0tw,1,3,4
HkLoNKk2aYhuUKgKCNU0tw,3,2,1
HkLoNKk2aYhuUKgKCNU0tw,5,4,1
HkLoNKk2aYhuUKgKCNU0tw,5,5,0
09KSeRIpzGeAqsJCXZ4d4g,5,4,1
09KSeRIpzGeAqsJCXZ4d4g,1,3,4
09KSeRIpzGeAqsJCXZ4d4g,5,5,0
UVqelOc_xJwy6lfnOhiCLQ,4,4,0
ghVWzVyEUW1BA_WBX-P5aQ,4,3,1
HemrOHFWRHP5e6YFftHyGA,5,5,0
9QnlJICgw57Xl1r7ZBKUWQ,4,4,0
Ef9crW61OYp2UJ0ysi3nEw,4,3,1
Ef9crW61OYp2UJ0ysi3nEw,4,3,1
QyfX-6jFfINH1MuXS8R6ZA,5,4,1
QyfX-6jFfINH1MuXS8R6ZA,4,2,4
IQFA3bvUnC-uEWHJFaxFHA,1,3,4
Z2zynjhj6umPoHwLVfyOkw,4,4,0
Z2zynjhj6umPoHwLVfyOkw,5,5,0
Z2zynjhj6umPoHwLVfyOkw,4,4,0
Z2zynjhj6umPoHwLVfyOkw,1,1,0
Z2zynjhj6umPoHwLVfyOkw,1,1,0
Z2zynjhj6umPoHwLVfyOkw,4,2,4
Z2zynjhj6umPoHwLVfyOkw,1,1,0
Z2zynjhj6umPoHwLVfyOkw,5,4,1
Z2zynjhj6umPoHwLVfyOkw,5,4,1
Z2zynjhj6umPoHwLVfyOkw,5,5,0
Fu_MNxmXW0neptI-ShZRpw,4,3,1
8jgeq1g94jJoZNktsMSruA,1,1,0
RSEWEofaXj5W29C-WuFq4Q,5,3,4
VfaxW4igH57KHsIHR-W7Nw,4,3,1
VfaxW4igH57KHsIHR-W7Nw,4,2,4
LAoK-5hDjqALXQ9F6RrVIw,5,3,4
LAoK-5hDjqALXQ9F6RrVIw,3,4,1
H8p7tEvUmJ2sTxxdmxnrMg,4,2,4
H8p7tEvUmJ2sTxxdmxnrMg,4,3,1
H8p7tEvUmJ2sTxxdmxnrMg,5,5,0
UOJzdIik4wgcy5N96RWtiQ,4,4,0
NikjKN4c0oOJwbjW158xBQ,5,5,0
NikjKN4c0oOJwbjW158xBQ,4,3,1
NikjKN4c0oOJwbjW158xBQ,5,5,0
NikjKN4c0oOJwbjW158xBQ,5,4,1
NikjKN4c0oOJwbjW158xBQ,5,4,1
NikjKN4c0oOJwbjW158xBQ,3,4,1
NikjKN4c0oOJwbjW158xBQ,4,4,0
L7iOEZLuvd3vHoX8Efi_hw,4,4,0
L7iOEZLuvd3vHoX8Efi_hw,5,4,1
Oyo5CWthu2upxxaf69MfIg,5,5,0
Oyo5CWthu2upxxaf69MfIg,5,5,0
Oyo5CWthu2upxxaf69MfIg,3,3,0
Oyo5CWthu2upxxaf69MfIg,3,4,1
Oyo5CWthu2upxxaf69MfIg,5,4,1
Oyo5CWthu2upxxaf69MfIg,2,3,1
Oyo5CWthu2upxxaf69MfIg,1,1,0
Oyo5CWthu2upxxaf69MfIg,4,4,0
Oyo5CWthu2upxxaf69MfIg,5,5,0
JJEx5wIqs9iGGATOagE8Sg,1,1,0
JJEx5wIqs9iGGATOagE8Sg,2,3,1
JJEx5wIqs9iGGATOagE8Sg,4,2,4
KvD5ztamryDcuYTIBfAy7g,5,5,0
YufWhkZQPC6As55MuXTU8g,4,4,0
YufWhkZQPC6As55MuXTU8g,1,1,0
_9oVB-ICuyxfnK8JGpiwKA,5,5,0
Licd1Zdur5G4PCdzJ5bl2g,4,5,1
Licd1Zdur5G4PCdzJ5bl2g,1,2,1
Licd1Zdur5G4PCdzJ5bl2g,3,3,0
7kjQBf9FvS-wUXawx965QQ,1,1,0
HQBtr9-GtWE566ZoUNf5TA,4,4,0
HQBtr9-GtWE566ZoUNf5TA,4,5,1
E7gXf8A6CyBIqc5twzgG_Q,1,1,0
YGaowC1J4GfkQYyYLYWnQQ,4,3,1
YGaowC1J4GfkQYyYLYWnQQ,5,4,1
YGaowC1J4GfkQYyYLYWnQQ,4,4,0
H8p7tEvUmJ2sTxxdmxnrMg,5,4,1
H8p7tEvUmJ2sTxxdmxnrMg,3,2,1
H8p7tEvUmJ2sTxxdmxnrMg,4,3,1
H8p7tEvUmJ2sTxxdmxnrMg,5,2,9
H8p7tEvUmJ2sTxxdmxnrMg,1,1,0
H8p7tEvUmJ2sTxxdmxnrMg,2,2,0
H8p7tEvUmJ2sTxxdmxnrMg,3,3,0
H8p7tEvUmJ2sTxxdmxnrMg,5,2,9
H8p7tEvUmJ2sTxxdmxnrMg,3,3,0
UEpKf4g8oaAIr0ZIM0TXgw,4,3,1
UEpKf4g8oaAIr0ZIM0TXgw,1,4,9
UEpKf4g8oaAIr0ZIM0TXgw,4,4,0
UEpKf4g8oaAIr0ZIM0TXgw,4,3,1
BthL-DpmauWs0-tDewBWug,5,5,0
BthL-DpmauWs0-tDewBWug,5,4,1
BU67sB_pedm_QsNhISvYIQ,3,3,0
BU67sB_pedm_QsNhISvYIQ,5,4,1
BU67sB_pedm_QsNhISvYIQ,5,5,0
L7iOEZLuvd3vHoX8Efi_hw,1,1,0
SfP326rcU5sjwGx_dQP2RQ,4,4,0
SfP326rcU5sjwGx_dQP2RQ,4,4,0
Quh8Fjutyw15B6ZGZEf2gA,5,3,4
Quh8Fjutyw15B6ZGZEf2gA,2,1,1
Quh8Fjutyw15B6ZGZEf2gA,4,2,4
Pgay5a3ZPZB_5ijSHAGoyA,4,4,0
Pgay5a3ZPZB_5ijSHAGoyA,4,3,1
Pgay5a3ZPZB_5ijSHAGoyA,5,3,4
Yu4_CF-0gY89rm5KR16z0A,4,3,1
QXPjl1G5XxlJhc8vaH2NLg,5,4,1
h6gxTk2qkMJfA3fHuJpi6Q,5,2,9
h6gxTk2qkMJfA3fHuJpi6Q,5,2,9
h6gxTk2qkMJfA3fHuJpi6Q,5,5,0
FZDcm4f7aOvYK7aD7aBtvA,5,5,0
FZDcm4f7aOvYK7aD7aBtvA,1,1,0
FZDcm4f7aOvYK7aD7aBtvA,1,1,0
FZDcm4f7aOvYK7aD7aBtvA,5,5,0
RDQpH7J6PBpVzE9pNDKcoA,5,4,1
RDQpH7J6PBpVzE9pNDKcoA,3,3,0
RDQpH7J6PBpVzE9pNDKcoA,5,3,4
PNdjgI6mZYXKCTBKiVQMRg,1,1,0
PNdjgI6mZYXKCTBKiVQMRg,3,1,4
PNdjgI6mZYXKCTBKiVQMRg,4,5,1
OsicKntF7sTdQiYU_AcNEA,4,4,0
OsicKntF7sTdQiYU_AcNEA,5,3,4
RCSuvvhuPO-hozONvzC_4A,5,5,0
RCSuvvhuPO-hozONvzC_4A,4,4,0
PepLYiTk-2j6Nb8JFVT9gQ,3,3,0
PBSnhhjJ9X2uMRgx4QhTcw,5,5,0
PBSnhhjJ9X2uMRgx4QhTcw,1,5,16
PBSnhhjJ9X2uMRgx4QhTcw,1,2,1
ivUQ3POcIceOW0S4tng5Aw,5,5,0
X5valo7w5BVwFn4lZ2P3Sg,5,4,1
a6RZ3ampzMPiu0drkw9WWw,4,2,4
a6RZ3ampzMPiu0drkw9WWw,4,4,0
a6RZ3ampzMPiu0drkw9WWw,5,3,4
a6RZ3ampzMPiu0drkw9WWw,3,3,0
a6RZ3ampzMPiu0drkw9WWw,4,1,9
a6RZ3ampzMPiu0drkw9WWw,4,4,0
a6RZ3ampzMPiu0drkw9WWw,5,4,1
a6RZ3ampzMPiu0drkw9WWw,5,5,0
QI7XeQ11U4D-A5uRcah5Iw,4,4,0
SkxDv7IpQWu8xvIPK92PuA,1,2,1
JpxjQWZbmjWlgAeMSVNGBA,5,5,0
JpxjQWZbmjWlgAeMSVNGBA,5,4,1
JpxjQWZbmjWlgAeMSVNGBA,4,4,0
JpxjQWZbmjWlgAeMSVNGBA,1,1,0
JpxjQWZbmjWlgAeMSVNGBA,4,4,0
KTQHeWmwLxDQEt7GN7n3pA,5,4,1
KTQHeWmwLxDQEt7GN7n3pA,3,1,4
KTQHeWmwLxDQEt7GN7n3pA,5,5,0
RScKS72p6_AykRRwZOxqog,1,1,0
HJEaoW2OUTeZuQcygYUpqQ,1,1,0
ECmphS3zwUcqWhnbhOZoUg,5,4,1
Dw7I9LJgp2tH1QScYCuhbw,3,3,0
Dw7I9LJgp2tH1QScYCuhbw,5,2,9
Dw7I9LJgp2tH1QScYCuhbw,3,2,1
Dw7I9LJgp2tH1QScYCuhbw,5,4,1
ZDdEtIFhLsoydDvB8joYrA,4,4,0
ZDdEtIFhLsoydDvB8joYrA,4,4,0
_M5ngf01IBY-v5LhluT-9w,1,1,0
_M5ngf01IBY-v5LhluT-9w,5,5,0
XkzxCrgCVXAfOJB1Ks7LCg,1,1,0
JA5GJINnaQQxKfoTUOBAOQ,4,5,1
JA5GJINnaQQxKfoTUOBAOQ,4,4,0
JA5GJINnaQQxKfoTUOBAOQ,5,4,1
JA5GJINnaQQxKfoTUOBAOQ,4,5,1
JA5GJINnaQQxKfoTUOBAOQ,2,2,0
JA5GJINnaQQxKfoTUOBAOQ,4,5,1
JA5GJINnaQQxKfoTUOBAOQ,4,4,0
JA5GJINnaQQxKfoTUOBAOQ,1,1,0
JA5GJINnaQQxKfoTUOBAOQ,4,4,0
JA5GJINnaQQxKfoTUOBAOQ,5,5,0
JA5GJINnaQQxKfoTUOBAOQ,5,4,1
JA5GJINnaQQxKfoTUOBAOQ,3,5,4
JA5GJINnaQQxKfoTUOBAOQ,5,5,0
JpxjQWZbmjWlgAeMSVNGBA,4,2,4
JpxjQWZbmjWlgAeMSVNGBA,4,2,4
JpxjQWZbmjWlgAeMSVNGBA,4,3,1
JpxjQWZbmjWlgAeMSVNGBA,4,4,0
cPWbolWE6ip5SupmfH-nBQ,1,1,0
JrWDbaSUYVBuTeELOWmRCQ,5,1,16
OgM-BL1BrQ-F5d433wVUmA,1,2,1
VSjzy2RF0ojIVCSyEoTnXA,1,2,1
VSjzy2RF0ojIVCSyEoTnXA,5,4,1
VSjzy2RF0ojIVCSyEoTnXA,4,4,0
VSjzy2RF0ojIVCSyEoTnXA,4,4,0
VSjzy2RF0ojIVCSyEoTnXA,5,2,9
VSjzy2RF0ojIVCSyEoTnXA,1,1,0
VSjzy2RF0ojIVCSyEoTnXA,1,1,0
Zv2ZxnAZLswC3IXyiHhYeA,4,4,0
Zv2ZxnAZLswC3IXyiHhYeA,5,5,0
J0UG_QARO4bwYlxfosP2aw,1,2,1
L2FZfel378lIpeqFrhX1lg,3,4,1
QXPjl1G5XxlJhc8vaH2NLg,1,1,0
ANSdwcG2_tH5iHdOpokVpQ,5,5,0
ZSnAyj829ZcaGGxs-6sArA,1,1,0
ZSnAyj829ZcaGGxs-6sArA,1,4,9
aX2yKumIlyMLbDvA4dVbHA,4,5,1
KNIIl9Uhlsbq1aQjO_HL7A,3,4,1
KNIIl9Uhlsbq1aQjO_HL7A,5,5,0
KNIIl9Uhlsbq1aQjO_HL7A,5,5,0
FMWWSFWp7o2J5IHqJJr7yg,4,3,1
FMWWSFWp7o2J5IHqJJr7yg,4,4,0
k1gDqlaVXilVRE2MxFR3HA,3,3,0
k1gDqlaVXilVRE2MxFR3HA,4,3,1
k1gDqlaVXilVRE2MxFR3HA,4,4,0
k1gDqlaVXilVRE2MxFR3HA,4,4,0
Mca0HEKs8Xfa4VimLD1uGQ,4,2,4
QmTXU7IM8RRjULQw4Kb4ig,5,4,1
QmTXU7IM8RRjULQw4Kb4ig,5,4,1
RcEKCs4v_gj2uN3YHcCkKw,4,5,1
U3D3yO7bGVqIOOPnqHhuWA,4,5,1
JLh_3ID6DaKvmD_2hQ6J-w,5,4,1
JLh_3ID6DaKvmD_2hQ6J-w,4,5,1
_V4I3DfzYbIHL77XDaVM-Q,4,3,1
_V4I3DfzYbIHL77XDaVM-Q,4,4,0
_iySw-CXvA2wx0sn8pRiAA,4,3,1
_iySw-CXvA2wx0sn8pRiAA,1,1,0
_iySw-CXvA2wx0sn8pRiAA,4,3,1
GqlcI-T5pK17Q932PimsAg,5,1,16
GqlcI-T5pK17Q932PimsAg,1,2,1
GqlcI-T5pK17Q932PimsAg,1,1,0
GqlcI-T5pK17Q932PimsAg,5,4,1
GqlcI-T5pK17Q932PimsAg,3,4,1
GqlcI-T5pK17Q932PimsAg,1,1,0
GqlcI-T5pK17Q932PimsAg,4,2,4
GqlcI-T5pK17Q932PimsAg,1,1,0
GqlcI-T5pK17Q932PimsAg,5,1,16
GqlcI-T5pK17Q932PimsAg,4,3,1
GqlcI-T5pK17Q932PimsAg,5,1,16
e8cFfRySb8n9lMXRnyzeIA,1,1,0
e8cFfRySb8n9lMXRnyzeIA,4,4,0
jjzOApz6znfsBnmlzPh_tw,5,4,1
jjzOApz6znfsBnmlzPh_tw,4,5,1
jjzOApz6znfsBnmlzPh_tw,4,3,1
-pL4Id5cuz2yC2UKi2Yq9A,4,4,0
-pL4Id5cuz2yC2UKi2Yq9A,4,5,1
-pL4Id5cuz2yC2UKi2Yq9A,4,3,1
-pL4Id5cuz2yC2UKi2Yq9A,4,5,1
-pL4Id5cuz2yC2UKi2Yq9A,5,5,0
